model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M3_gbm_squared,forecast_only,2.050000,month,2011-06,0.730983,73194.000000,92920.000000,0.223482,1.269503,2734
M3_gbm_squared,forecast_only,2.050000,month,2011-07,0.765236,64472.000000,80395.000000,0.248793,1.246975,2693
M3_gbm_squared,forecast_only,2.050000,month,2011-08,0.775847,64618.000000,114895.000000,0.171565,1.778065,2722
M3_gbm_squared,forecast_only,2.050000,month,2011-09,0.670459,131440.000000,102151.000000,0.242196,0.777168,2787
M3_gbm_squared,forecast_only,2.050000,month,2011-10,0.736404,112462.000000,142694.000000,0.209443,1.268820,2817
M3_gbm_squared,forecast_only,2.050000,month,2011-11,0.733686,140696.000000,123491.000000,0.265850,0.877715,2776
M3_gbm_squared,forecast_only,2.050000,abc,A,0.770486,361195.000000,377271.000000,0.351708,1.044508,4771
M3_gbm_squared,forecast_only,2.050000,abc,B,0.638841,152204.000000,135405.000000,0.265078,0.889628,4825
M3_gbm_squared,forecast_only,2.050000,abc,C,0.620480,73483.000000,143870.000000,0.114525,1.957868,6933
M3_gbm_squared,forecast_plus_ss,1.280000,overall,all,0.879047,264742.000000,1977162.000000,0.082401,7.468260,16529
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-06,0.890708,29736.000000,322664.000000,0.072787,10.850955,2734
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-07,0.912051,24153.000000,313614.000000,0.076123,12.984474,2693
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-08,0.932748,19387.000000,334033.000000,0.046289,17.229742,2722
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-09,0.838496,64417.000000,307804.000000,0.102260,4.778304,2787
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-10,0.853239,62615.000000,371568.000000,0.092297,5.934169,2817
M3_gbm_squared,forecast_plus_ss,1.280000,month,2011-11,0.878037,64434.000000,327479.000000,0.103386,5.082394,2776
M3_gbm_squared,forecast_plus_ss,1.280000,abc,A,0.916494,131416.000000,1305968.000000,0.101237,9.937664,4771
M3_gbm_squared,forecast_plus_ss,1.280000,abc,B,0.806683,81470.000000,397411.000000,0.100933,4.878004,4825
M3_gbm_squared,forecast_plus_ss,1.280000,abc,C,0.732178,51856.000000,273783.000000,0.056541,5.279678,6933
M3_gbm_squared,forecast_plus_ss,1.645000,overall,all,0.898059,223127.000000,2403832.000000,0.068123,10.773380,16529
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-06,0.907924,25052.000000,395862.000000,0.057425,15.801613,2734
M3_gbm_squared,forecast_plus_ss,1.645000,month,2011-07,0.926758,20114.000000,387582.000000,0.060156,19.269265,2693
